COUNTRY,STATION,STD_CODE,STATE_ABB
INDIA,BHARMOUR,1090,HIMACHAL PRADESH
INDIA,KILLAR,1098,HIMACHAL PRADESH
INDIA,PANGI,1098,HIMACHAL PRADESH
INDIA,NEW DELHI,11,DELHI
INDIA,BULLABHGARH,11-88,DELHI
INDIA,MEERUT,121,DELHI
INDIA,HARYANAPUR,122,DELHI
INDIA,MODINAGAR,1232,UTTAR PRADESH
INDIA,MAWANA,1233,UTTAR PRADESH
INDIA,BARAUT,1234,UTTAR PRADESH
INDIA,KHEKRA,1234,UTTAR PRADESH
INDIA,SARADHANA,1237,UTTAR PRADESH
INDIA,HARYANAILYMANDI,124,DELHI
INDIA,BADSHAH PUR,124-71,HARYANA
INDIA,NARSINGPUR,124-723,HARYANA
INDIA,FAROOK NAGAR,124-752,HARYANA
INDIA,SOHNA,1249,DELHI
INDIA,CHARKHIDADRI,1250,HARYANA
INDIA,PANTAWASKALAN,1250,HARYANA
INDIA,JHOJU,1250-630,HARYANA
INDIA,MISHRI,1250-735,HARYANA
INDIA,SANWAR,1250-875,HARYANA
INDIA,JHAJJAR,1251,HARYANA
INDIA,BERI,1251,HARYANA
INDIA,MATTANHIL,1251-824,HARYANA
INDIA,LOHARU,1252,PUNJAB
INDIA,TOSHAM,1253,PUNJAB
INDIA,KHANAK,1253,HARYANA
INDIA,BAWANI-KERA,1254,PUNJAB
INDIA,SIWANI,1255,PUNJAB
INDIA,MEHAM,1257,HARYANA
INDIA,FARMANA,1257,HARYANA
INDIA,BAINSI,1257-833,HARYANA
INDIA,NIDHANA,1257-834,HARYANA
INDIA,BEHIBA,1257-835,HARYANA
INDIA,KALANAUR,1258,HARYANA
INDIA,NIGANA,1258,HARYANA
INDIA,KOSLI,1259,HARYANA
INDIA,ROHTAK,1262,HARYANA
INDIA,SAMPLA,1262,HARYANA
INDIA,BAHU AKBARPUR,1262-854,HARYANA
INDIA,MAKRAULI,1262-855,HARYANA
INDIA,SAMARGOPALPUR,1262-865,HARYANA
INDIA,KHAREWAR,1262,HARYANA
INDIA,GOHANA,1263,HARYANA
INDIA,CHIDANA,1263,HARYANA
INDIA,BICHPARI,1263-862,HARYANA
INDIA,BARODA(SONEPAT),1263-876,HARYANA
INDIA,SONEPAT,1264,HARYANA
INDIA,GANNAUR,1264,HARYANA
INDIA,MOHANA(SONEPET),1264,HARYANA
INDIA,KHARKHODA,1264,HARYANA
INDIA,AKBARPUR(SONEPET),1264,HARYANA
INDIA,BHIGAN,1264,HARYANA
INDIA,JAKHALI,1264,HARYANA
INDIA,KHEWRA,1264,HARYANA
INDIA,KUNDLI,1264-70,HARYANA
INDIA,BIDHOM,1264-757,HARYANA
INDIA,MURTHAL,1264-82,HARYANA
INDIA,RAI(SONEPET),1264-832,HARYANA
INDIA,MACHLANA,1264-835,HARYANA
INDIA,HARYANARSANA,1264-862,HARYANA
INDIA,NVH,1267,HARYANA
INDIA,FEROZEPUR ZHIRKA,1268,HARYANA
INDIA,GURGAON,1272,DELHI
INDIA,REWARI,1274,DELHI
INDIA,KARNAWAS,1274,HARYANA
INDIA,PALWAL,1275,HARYANA
INDIA,HARYANATHIN,1275,HARYANA
INDIA,HODAL,1276,HARYANA
INDIA,JATUSANA,1281,HARYANA
INDIA,NARNAUL,1282,HARYANA
INDIA,DHARUHERA,1283,HARYANA
INDIA,BAWAL,1284,HARYANA
INDIA,MOHINDERGARH,1285,HARYANA
INDIA,FARIDABAD,129,HARYANA
INDIA,MUZZAFFARNAGAR,131,UTTAR PRADESH
INDIA,BEGRAJPUR,13176,UTTAR PRADESH
INDIA,KAISANA,13181,UTTAR PRADESH
INDIA,SAHARANPUR,132,UTTAR PRADESH
INDIA,HARIDWAR,133,UTTRANCHAL
INDIA,GANGOH,1331,UTTRANCHAL
INDIA,ROORKEE,1332,UTTRANCHAL
INDIA,LAKSAR,1333,UTTRANCHAL
INDIA,SHIVALIKNAGAR,13344,UTTRANCHAL
INDIA,DEOBAND,1336,DELHI
INDIA,NAJIBABAD (BIJNOR),1341,DELHI
INDIA,BIJNOR,1342,DELHI
INDIA,NAJIBABAD,1343,DELHI
INDIA,CHANDPUR,1345,UTTAR PRADESH
INDIA,DEHRADUN,135,UTTAR PRADESH
INDIA,CLEMENT TOWN,135-82,UTTAR PRADESH
INDIA,PREM NAGAR(DEHRADUN),135-83,UTTAR PRADESH
INDIA,RAJPUR,135-84,UTTAR PRADESH
INDIA,DOIWALA,13589,UTTAR PRADESH
INDIA,MUSSOORIE,1362,UTTAR PRADESH
INDIA,RISHIKESH,1364-11,UTTAR PRADESH
INDIA,PAURI(GWL),1368,UTTAR PRADESH
INDIA,GOPESWARCHAMOLI,1372,UTTAR PRADESH
INDIA,UTTARKASHI,1374,DELHI
INDIA,NEW TEHRI,1376,DELHI
INDIA,BADRINATH,1381,UTTAR PRADESH
INDIA,KOTDWARA,1382,UTTAR PRADESH
INDIA,SRINAGAR(GWL),1388,UTTAR PRADESH
INDIA,BUDHANA,1392,UTTAR PRADESH
INDIA,JAIPUR,141,RAJASTHAN
INDIA,SANGANER,141,RAJASTHAN
INDIA,DURGAPURA(JAIPUR),14182,RAJASTHAN
INDIA,VISHWAKARMA,14183,RAJASTHAN
INDIA,JHOTWARA,14184,RAJASTHAN
INDIA,AMER,14186,RAJASTHAN
INDIA,MANSAROVER,14187,RAJASTHAN
INDIA,BANDIKUI,1420,RAJASTHAN
INDIA,SIKRAI,1420-82,RAJASTHAN
INDIA,BASAWA,1420-83,RAJASTHAN
INDIA,GUDHLIYA,1420-84,RAJASTHAN
INDIA,GEEJGARH,1420-85,RAJASTHAN
INDIA,MANPUR,1420-86,RAJASTHAN
INDIA,KOTPUTLI,1421,RAJASTHAN
INDIA,GONER,141-833,RAJASTHAN
INDIA,PAOTA,1421-4,RAJASTHAN
INDIA,RAJNOTA,1421-83,RAJASTHAN
INDIA,SHAHPURA(JAIPUR),1422,RAJASTHAN
INDIA,VIRATNAGAR,1422,RAJASTHAN
INDIA,MANAHARPURA,1422-74,RAJASTHAN
INDIA,SAMOD,1423,RAJASTHAN
INDIA,JAHOTA,1423-42,RAJASTHAN
INDIA,JAITPURA,1423-43,RAJASTHAN
INDIA,CHOMU,1423-45,RAJASTHAN
INDIA,JAI RAM PURA,1423-46,RAJASTHAN
INDIA,KHORA BISAL,1423-47,RAJASTHAN
INDIA,NANGAL-PUROHITAN,1423-53,RAJASTHAN
INDIA,GOVINDGARH,1423-55,RAJASTHAN
INDIA,SAMBHARLAKE,1425,RAJASTHAN
INDIA,NARAINA(SBR),14252,RAJASTHAN
INDIA,PHUULERA,14252,RAJASTHAN
INDIA,ACHROL,1426,RAJASTHAN
INDIA,DAND,14261,RAJASTHAN
INDIA,RAISAR,14261-2,RAJASTHAN
INDIA,KUKAS,14261-81,RAJASTHAN
INDIA,CHANDWAZI,14261-81,RAJASTHAN
INDIA,JAMUARAMGARH,14262,RAJASTHAN
INDIA,DAUSA,1427,RAJASTHAN
INDIA,PAPARDA,1427-81,RAJASTHAN
INDIA,NARGAL RAYWATAN,1427-82,RAJASTHAN
INDIA,BHANDARAJ,1427-83,RAJASTHAN
INDIA,SAINTHAL,1427-84,RAJASTHAN
INDIA,LAWA,1437-84,RAJASTHAN
INDIA,CHAREDA,1427-86,RAJASTHAN
INDIA,ALUDA,1427-87,RAJASTHAN
INDIA,DUDU,1428,RAJASTHAN
INDIA,BASSI,1429,RAJASTHAN
INDIA,TUNGA,14292-4,RAJASTHAN
INDIA,BANSKHO,14292-41,RAJASTHAN
INDIA,JATWADA,14292-46,RAJASTHAN
INDIA,KANOTA,14293,RAJASTHAN
INDIA,CHAKSU,14294,RAJASTHAN
INDIA,PHAGI,1430,RAJASTHAN
INDIA,LALSOT,1431,RAJASTHAN
INDIA,MANDAWRI,1431,RAJASTHAN
INDIA,KOTALWAS,1431-82,RAJASTHAN
INDIA,DANLATPURA,1431-83,RAJASTHAN
INDIA,TONK,1432,RAJASTHAN
INDIA,TODARAISINGH,1433,RAJASTHAN
INDIA,DEOLI (TONK),1434,RAJASTHAN
INDIA,PIPLOO,1435,RAJASTHAN
INDIA,UNIYARA(RTX-TONK),1436,RAJASTHAN
INDIA,MALPURA,1437,RAJASTHAN
INDIA,DIGGI,1437-83,RAJASTHAN
INDIA,LAMBAHARISINGH,1437-86,RAJASTHAN
INDIA,NEWAI,1438,RAJASTHAN
INDIA,BANASTHALI,1438,RAJASTHAN
INDIA,ALWAR,144,RAJASTHAN
INDIA,SARISKA,144-41,RAJASTHAN
INDIA,MIA-ALWAR,144-82,RAJASTHAN
INDIA,BHADURPUR,144-83,RAJASTHAN
INDIA,MALAKHERA,144-84,RAJASTHAN
INDIA,AKBARPUR(ALWAR),144-85,RAJASTHAN
INDIA,UMRAIN,144-86,RAJASTHAN
INDIA,RAMGARH(ALWAR),144-87,RAJASTHAN
INDIA,BURJA,144-88,RAJASTHAN
INDIA,AJMER,145,RAJASTHAN
INDIA,PISAGAON,145-817,RAJASTHAN
INDIA,PUSHKAR,14581,RAJASTHAN
INDIA,KHERTHAL,1460,RAJASTHAN
INDIA,HARYANARSOLI,1460,RAJASTHAN
INDIA,K.G.BAS,1460-2,RAJASTHAN
INDIA,BIBI RANI,1460-32,RAJASTHAN
INDIA,ISMAILPUR,1460-84,RAJASTHAN
INDIA,BOANSUR,1461,RAJASTHAN
INDIA,BEAWAR,1462,RAJASTHAN
INDIA,BANDARWARA,1462,RAJASTHAN
INDIA,KHARWA,1462-63,RAJASTHAN
INDIA,JAWJA,1462-82,RAJASTHAN
